AGB (kg),NDVI,SAVI,EVI,GNDVI,WDVI,SR,NDWI,NDI45,MTCI,RENDVI
9258.600266964092953,0.39023,0.58524,0.68356,0.34724,1411.50000,2.27995,-0.10606,0.16438,1.62821,0.24133
404.083732364281389,0.27023,0.40527,0.44704,0.28594,1186.00000,1.74059,-0.24209,0.08560,1.63128,0.18900
9258.600266964092953,0.42360,0.63528,0.75435,0.35835,1501.00000,2.46982,-0.08441,0.18020,1.60597,0.26351
9258.600266964092953,0.41700,0.62539,0.74017,0.37451,1529.00000,2.43056,-0.06599,0.16763,1.77116,0.26812
404.083732364281389,0.26835,0.40245,0.44354,0.29367,1199.00000,1.73354,-0.23979,0.08775,1.45989,0.18495
404.083732364281389,0.27300,0.40943,0.45221,0.29807,1201.00000,1.75104,-0.24125,0.08615,1.64088,0.19135
404.083732364281389,0.28518,0.42768,0.47506,0.30531,1233.00000,1.79789,-0.23374,0.08654,1.68889,0.20366
1226.103159636492364,0.24397,0.36588,0.39874,0.26654,1166.00000,1.64538,-0.25022,0.07032,2.03896,0.17668
1226.103159636492364,0.20605,0.30903,0.33104,0.24813,1176.00000,1.51906,-0.24244,0.03753,2.88889,0.16984
1226.103159636492364,0.23140,0.34703,0.37603,0.24569,1144.00000,1.60212,-0.26155,0.07569,1.64706,0.15848
364.224062600694594,0.29582,0.44364,0.49524,0.29988,1207.50000,1.84018,-0.23997,0.10880,1.20455,0.19323
836.404260644062902,0.25578,0.38360,0.42033,0.27852,1242.00000,1.68738,-0.22808,0.08446,1.50259,0.17510
836.404260644062902,0.25926,0.38882,0.42673,0.28602,1260.00000,1.70000,-0.21796,0.08217,1.58511,0.18095
404.083732364281389,0.29910,0.44857,0.50151,0.31487,1265.50000,1.85348,-0.23268,0.10612,1.31982,0.19931
404.083732364281389,0.29194,0.43783,0.48787,0.31478,1269.00000,1.82463,-0.22483,0.08718,1.65027,0.21011
1226.103159636492364,0.24557,0.36828,0.40165,0.26127,1151.00000,1.65100,-0.25914,0.07961,1.76879,0.16926
1226.103159636492364,0.20014,0.30015,0.32068,0.23752,1165.50000,1.50043,-0.24752,0.03320,3.28750,0.16806
